Model_Number,RMSE_mean,RMSE_sd,Rsqared_mean,Rsqared_sd,MAE_mean,MAE_sd,NSE_mean,NSE_sd,Nt_mean,Category
794,4.649014266448018,0.594446467070838,0.7131349083798652,0.06802763776922825,3.392592158440747,0.4656210242521544,0.6517611464947417,0.13934016659816065,0.7980806421048446,Acceptable
893,4.773607204317105,0.9903456127026837,0.6952742581243551,0.07682680324703682,3.2089989551610025,0.5870913589651832,0.657120174616726,0.07813114159710823,0.7559220300568199,Acceptable
1028,4.634802174878989,0.750775927460462,0.7007675990940919,0.06768821957419188,3.419091712149044,0.5100326454893238,0.6657458928232922,0.10608950950201262,0.7996796187343138,Acceptable
1408,4.6407766621347495,0.6970355383138033,0.6998539606127047,0.06738869466433181,3.531015740074094,0.48407204203307896,0.6600730340485068,0.12351228632420136,0.7982006113381335,Acceptable
1920,4.571544741363221,0.6264141552629624,0.7117175422381261,0.0678009378237311,3.310241345790815,0.4954405718831343,0.6701316080223447,0.11125309337214412,0.8228696803158883,Acceptable
2895,4.629703502067855,0.6923437052910915,0.7103387801120713,0.07502103079480602,3.3614978728739007,0.48485935640175637,0.6554316929611625,0.14385144664511293,0.8113668243889889,Acceptable
3055,4.452069660286352,0.7090964493594873,0.7249495591220043,0.08190373990683165,3.3117564766001233,0.4020933383248586,0.6864638064597909,0.10853753753555073,0.8832284561565253,Acceptable
4065,4.444640802365081,0.7518553248140735,0.7174575922811961,0.09064568778613485,3.3308758983146523,0.44018502387152963,0.6847708414153392,0.11824023588175417,0.8947393019541995,Acceptable
4540,4.769274943531538,0.7965642960972099,0.6909279223909196,0.05730274053500575,3.3167771096616634,0.5622827816067981,0.6537022886701978,0.08011373240576844,0.7444849572464982,Acceptable
5570,4.777392314516564,0.7941442837293339,0.6852003328189902,0.06093860021496053,3.4128675631265146,0.5770636840210904,0.6528595465004876,0.07684144633074673,0.7409058726907592,Acceptable
5849,4.747371777606051,0.8520296385395861,0.6868814496808024,0.06798681663619337,3.3165808823822283,0.6038368131359301,0.6595773386040811,0.06931901638671303,0.7554134177938795,Acceptable
5886,4.838032314145851,1.0632504056733691,0.7066074445473685,0.06942398521357367,2.995035959226762,0.6579155773859947,0.6561544899285345,0.0435308673574987,0.7325042942698818,Acceptable
6259,4.781509412036013,0.8200761525016769,0.6799925179114906,0.07565150903426629,3.2869635029956514,0.5927626071064523,0.6513427201669058,0.08259015628128741,0.7428879028391309,Acceptable
7757,4.702787288809517,0.8737426681198883,0.6942171509721197,0.07492993379382457,3.3365271083603214,0.5488130626419473,0.6600626053258837,0.0992250916483567,0.7798019773318254,Acceptable
8714,4.73025390759584,0.822688562342422,0.6921026909821341,0.0698865805995995,3.4074162607797955,0.544230934195808,0.6561348350237961,0.09506844820726418,0.7638242380066171,Acceptable
8716,4.681890451395216,0.7406947618556404,0.6964433187360182,0.07100009353108687,3.409973966559726,0.5145157639740665,0.6590952789667226,0.10552197202220509,0.7798724015286485,Acceptable
8893,4.760898489109214,0.7681082611697172,0.6859828932743784,0.07084436058394099,3.334816514350397,0.4994560861382235,0.6510773979039756,0.09685196421179051,0.7494170855104996,Acceptable
9378,4.71034843487422,0.7937749967799465,0.6942249466691864,0.07228264764479202,3.37945624049,0.5306543058108112,0.6584032683959582,0.09462724502519422,0.7694983258485021,Acceptable
9383,4.71564836487585,0.731529338559362,0.6953910860451206,0.0747665769532165,3.470292071812165,0.5072896502065724,0.6517795191990373,0.11504853841830227,0.7687059716383078,Acceptable
9547,4.727772599256997,0.7742244006420658,0.6936072982574563,0.057255126766157384,3.262922698857023,0.5753341583692284,0.6583851113927162,0.08399080317809739,0.7599608319614611,Acceptable
