crop_year,County,N,PGT20,PGT20_prop
2018,1,2151,54,2.5
2018,17,182,13,7.1
2018,31,498,11,2.2
2018,69,2943,92,3.1
2018,155,1776,82,4.6
2018,205,287,4,1.4
2018,271,260,17,6.5
2018,275,201,1,0.5
2018,277,142,5,3.5
2018,305,646,15,2.3
2019,1,2125,424,20
2019,17,288,107,37.2
2019,31,410,5,1.2
2019,69,3193,410,12.8
2019,155,1806,594,32.9
2019,205,272,35,12.9
2019,271,339,56,16.5
2019,275,213,33,15.5
2019,277,221,60,27.1
2019,305,716,79,11
2020,1,2587,92,3.6
2020,17,456,21,4.6
2020,31,533,0,0
2020,69,3316,147,4.4
2020,155,2008,292,14.5
2020,205,300,0,0
2020,271,444,17,3.8
2020,275,128,0,0
2020,277,236,5,2.1
2020,305,926,24,2.6
2021,1,843,6,0.7
2021,17,179,1,0.6
2021,31,535,8,1.5
2021,69,2945,9,0.3
2021,155,2110,23,1.1
2021,205,276,2,0.7
2021,271,232,0,0
2021,275,222,0,0
2021,277,203,1,0.5
2021,305,528,2,0.4
2022,1,1826,13,0.7
2022,17,270,0,0
2022,31,430,1,0.2
2022,69,2714,13,0.5
2022,155,1737,2,0.1
2022,205,300,1,0.3
2022,271,163,1,0.6
2022,275,168,1,0.6
2022,277,189,0,0
2022,305,736,4,0.5
